id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
246272,Hidden Gem - Water view! Intercostal - Awesome,1291881,Sunsets Included!,,Hollywood,26.02429,-80.11628,Entire home/apt,97,3,31,2018-10-02,0.64,2,194
256386,The Bush House - Country Living for Four,1304156,Nicolas,,Hollywood,26.0274,-80.14268,Entire home/apt,100,3,128,2019-07-07,1.40,4,287
294494,Riverside Bungalow,1522448,Jeffrey,,Fort Lauderdale,26.11317,-80.15725,Entire home/apt,160,3,10,2018-11-04,0.11,1,340
302467,Secret in Wilton Manors/Lauderdale,1557618,Claudia,,Fort Lauderdale,26.15081,-80.13361,Entire home/apt,159,3,90,2019-04-15,1.58,2,0
307735,Pleasant Room in Coral Springs,1583261,Luis,,Coral Springs,26.22994,-80.29244,Private room,60,2,11,2019-03-25,0.12,1,89
320480,Casa Blanca - Sunny Florida Mansion,791089,Conrad,,Plantation,26.11315,-80.26487,Entire home/apt,390,7,3,2012-08-12,0.03,4,365
325734,The Bush House - Hidden Gem for two,1304156,Nicolas,,Hollywood,26.02603,-80.14215,Entire home/apt,70,3,93,2019-05-29,1.19,4,323
330562,Studio in Condo Hotel near beach !,474053,Estela And Adriana,,Hallandale Beach,25.98799,-80.12853,Entire home/apt,69,3,54,2019-02-28,0.60,2,135
334321,S.Florida 1 Sunshine Vacation,407867,Eno,,Cooper City,26.05326,-80.28041,Private room,152,2,3,2016-03-06,0.04,2,363
334375,S.Florida Sunshine Getaway Vacation,407867,Eno,,Cooper City,26.0534,-80.28132,Entire home/apt,350,3,6,2019-05-13,0.09,2,364
344055,A cozy room in a townhouse.,1745139,Marciana,,Deerfield Beach,26.32462,-80.15387,Private room,50,3,2,2017-11-14,0.10,1,363
349538,Great Location! Central Beach Condo - Sleeps 6,1770887,Chris,,Fort Lauderdale,26.13588,-80.10394,Entire home/apt,269,7,28,2019-03-08,0.32,6,0
366178,TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,125,7,13,2019-01-09,0.15,2,365
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00831,-80.11583,Entire home/apt,110,90,11,2019-04-01,0.12,1,365
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12575,-80.13523,Entire home/apt,125,7,9,2018-05-24,0.10,2,365
399965,ONE PRIVATE BEDROOM AND BATHROOM IN MIAMI FL,1996187,Derrick,,Pembroke Pines,26.00632,-80.29829,Private room,40,1,77,2019-06-29,3.23,1,194
402149,Hollywood Beach Weight Loss Camp,2007320,Christopher,,Hollywood,26.02411,-80.11628,Shared room,300,7,0,,,1,365
404797,Oasis at Sawgrass,345885,Melissa,,Sunrise,26.14102,-80.31462,Entire home/apt,239,5,1,2012-09-24,0.01,6,365
433485,Beautiful Two Bedroom Townhome,1774750,Robert,,Hollywood,26.03173,-80.20597,Entire home/apt,58,4,23,2019-06-30,1.51,3,236
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21706,-80.12132,Entire home/apt,385,7,2,2015-01-06,0.03,1,363
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.17716,-80.09776,Entire home/apt,125,3,83,2019-05-15,0.99,1,243
439914,30days to 360days,2185056,Maria,,Lauderhill,26.17582,-80.23224,Entire home/apt,85,360,1,2012-11-01,0.01,1,365
453183,2br/2ba Furnished Luxury Hi-Rise,546634,M.R.,,Fort Lauderdale,26.12262,-80.13712,Entire home/apt,100,210,0,,,1,365
455884,W. Hollywood private pool-side one bedroom getaway,1946264,Khaleel,,Hollywood,26.02366,-80.2215,Entire home/apt,70,1,45,2019-04-03,0.59,1,188
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99377,-80.1183,Entire home/apt,250,16,24,2016-04-06,0.28,6,365
495296,Home to rent in Florida waterfront,2446313,Sonia,,Dania Beach,26.05185,-80.18428,Entire home/apt,170,30,10,2019-06-08,5.26,2,0
496697,HOME -----sweet----- HOME,2453109,Sarah,,Hollywood,26.03019,-80.14253,Entire home/apt,74,3,137,2019-07-06,1.64,4,176
503772,Tropical Tranquil Retreat,2484614,Cathleen,,Hollywood,26.00071,-80.15769,Entire home/apt,100,1,5,2018-05-14,0.30,1,365
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98779,-80.3169,Private room,29,180,39,2019-04-05,0.47,1,163
552725,Spacious Room in Beautiful South Fl,2653052,Debbie,,Coral Springs,26.23338,-80.27662,Private room,55,3,25,2016-03-20,0.34,2,255
577098,Tropical/Private Room(s)/Pool,1748183,Wendy,,Plantation,26.13392,-80.2358,Private room,55,2,27,2019-05-30,0.35,4,364
582989,Spacious  Modern Studio 8 min far the beach.,1248446,Elena,,Hollywood,26.02641,-80.14579,Entire home/apt,52,5,55,2019-05-21,0.91,3,166
592583,Central Ft Lauderdale Beach. 2BR Ocean Front Condo,1770887,Chris,,Fort Lauderdale,26.13621,-80.10403,Entire home/apt,279,7,20,2019-03-16,0.24,6,0
624127,Sunny Bedroom -,3096101,Jan,,Pembroke Pines,26.00656,-80.25355,Private room,48,2,21,2019-05-03,0.31,1,73
658344,Ocean Front Condo | Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13804,-80.10532,Entire home/apt,229,6,18,2019-03-16,0.22,6,0
674776,Oceanfront studio+Heated Pool+Jacuzzi+WiFi,3426390,Giovanna,,Hollywood,26.01275,-80.11671,Entire home/apt,65,4,46,2019-06-17,0.56,2,237
677855,"Tropical Eco Loft, Riverside Park - Quiet, Central",1469970,Robert,,Fort Lauderdale,26.11203,-80.16028,Private room,52,1,218,2019-06-01,2.73,1,147
685317,Ocean Pearl Motel - Deerfield Beach,924482,Dan,,Deerfield Beach,26.30821,-80.07829,Entire home/apt,69,2,33,2019-01-26,0.59,2,312
694022,Gorgeous Condo in Fort Lauderdale,3484283,Nikki / Sammy,,Pompano Beach,26.21016,-80.10735,Entire home/apt,176,4,42,2019-04-15,0.51,3,217
695109,Central Fort Lauderdale Beach - Sleeps 6,1770887,Chris,,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,269,7,17,2018-03-24,0.21,6,0
695242,2 Bedroom Deluxe Beachside Condo (Sleeps 8),1770887,Chris,,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,347,6,28,2019-01-04,0.34,6,0
716990,"CITY CENTER, BEACH, FREE BICYCLES!",3696537,David & Sindy,,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,50,31,210,2018-03-18,2.59,1,0
722515,Decadent Oasis,2609518,Bram,,Hollywood,26.00665,-80.15777,Entire home/apt,900,3,122,2019-07-12,1.50,8,305
724829,Heavenly Sunsets in Fort Lauderdale,3747351,Chuckie,,Fort Lauderdale,26.16462,-80.10483,Private room,135,1,13,2019-03-17,0.19,1,354
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,450,3,29,2019-03-16,0.37,1,361
767680,NICE ROOM IN A BEAUTIFUL HOME ON THE WATER!!!,4049140,Liliana,,Pembroke Pines,26.02181,-80.39928,Private room,35,2,0,,,3,303
777040,Fully updated comfortable 2 bd apt.,4097969,Nelson,,Fort Lauderdale,26.14844,-80.13662,Entire home/apt,120,4,4,2014-12-08,0.06,1,121
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Entire home/apt,300,60,0,,,1,365
817635,Deerfield Beach 2 Bedroom 2 Bath Townhouse,4168960,Ike,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,119,7,17,2019-04-18,0.23,1,263
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,119,5,7,2018-03-17,0.09,44,0
845458,The Bismarck Villa,4414033,James,,Wilton Manors,26.16163,-80.15217,Entire home/apt,250,4,4,2017-10-02,0.05,1,361
860809,5 min away from Sawgrass Mills Mall,4509319,Priscilla,,Plantation,26.12788,-80.32987,Private room,38,2,44,2019-05-31,0.61,2,351
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03468,-80.14292,Entire home/apt,55,7,98,2019-04-16,1.25,7,88
903803,Studio with Kitchenette and bath,4831929,Anne,,Wilton Manors,26.15986,-80.14058,Entire home/apt,48,14,5,2018-08-04,0.07,2,286
910866,Luxury 3 Bedroom Mid-Century Home,4887250,Jeffery,,Wilton Manors,26.1561,-80.1274,Entire home/apt,96,3,68,2019-02-25,0.88,2,0
912964,On the Beach Chic 2 Bedroom Miami,4787710,Shannon,,Hollywood,25.98925,-80.11882,Entire home/apt,190,2,43,2019-05-04,0.55,1,294
915364,Fully Furnished Studio Efficiency Apartment,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,39,3,4,2019-06-30,0.47,1,172
916342,1/1 MARY POP APARTMENTS #206,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03442,-80.14225,Entire home/apt,80,7,17,2019-03-31,0.26,7,96
942971,"Studio, kitchenette & private bath",4831929,Anne,,Wilton Manors,26.16036,-80.14002,Private room,50,3,1,2014-02-19,0.02,2,365
980856,2 Bedroom apartment in Coral Springs,5371244,Elizabeth,,Coral Springs,26.25763,-80.23714,Entire home/apt,100,3,101,2019-06-24,1.85,2,358
990398,Sunny Fort Lauderdale Get-Away,3289399,Valerie,,Fort Lauderdale,26.14705,-80.15206,Entire home/apt,80,7,54,2019-05-27,0.74,1,289
998144,OCEANFRONT MODERN 2 BEDROOM ON THE BEACH  3 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,149,5,3,2018-03-03,0.05,44,306
1002995,Master bedroom at Fort Lauderdale Golf Court view,5514632,Tony,,Tamarac,26.17976,-80.22598,Private room,34,1,20,2018-11-30,0.31,12,148
1018521,Relaxing ocean view  in Florida,5606477,Margarita,,Lauderdale By The Sea,26.21619,-80.09644,Entire home/apt,155,10,15,2019-06-22,0.20,1,234
1018940,Beach Incredible View from all rooms +Parking Free,5609323,Florida,,Hollywood,25.99377,-80.11722,Entire home/apt,389,15,35,2019-03-25,0.46,16,343
1032299,Beach View  Balcony Kitchen Pool Parking LIME-T09,5609323,Florida,,Hollywood,25.98812,-80.11907,Entire home/apt,165,3,13,2018-01-01,0.17,16,351
1038248,Mins from everything 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,170,7,12,2019-05-26,0.17,1,62
1048967,Spacious Townhouse in Plantation/Fort Lauderdale,3484283,Nikki / Sammy,,Plantation,26.12981,-80.25783,Entire home/apt,177,4,5,2019-05-03,0.32,3,364
1051620,NakedPalmsTikiHut & Bohemian House,5789520,Ken,,Fort Lauderdale,26.13556,-80.12118,Private room,74,1,79,2019-03-17,1.14,1,89
1053872,"Waterfront, walk to beach, luxury, guesthouse",5540104,Katarina,,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,399,3,2,2016-03-13,0.03,5,351
1060088,St. Barts Cottage at Island Time,173353,"Tiffany, Jeremiah And Forest",,Hollywood,26.02486,-80.14099,Entire home/apt,50,7,15,2019-05-19,0.23,4,231
1062184,Beach Side Balcony Kitchen Pool Parking - AQUA-T06,5609323,Florida,,Hollywood,25.98785,-80.11889,Entire home/apt,159,3,40,2017-07-01,0.55,16,333
1065650,Beach & Gardens View Kitchen Pool Parking NAVY-T03,5609323,Florida,,Hollywood,25.9897,-80.11763,Entire home/apt,175,3,65,2019-01-30,0.85,16,343
1066181,Antigua Cottage at Island Time,173353,"Tiffany, Jeremiah And Forest",,Hollywood,26.02632,-80.14074,Entire home/apt,80,7,35,2019-07-11,0.54,4,193
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21588,-80.22835,Private room,39,1,14,2017-03-25,0.26,12,131
1071295,Beach Side Luxury - BLUE-W06,5609323,Florida,,Hollywood,25.99743,-80.11771,Entire home/apt,85,90,1,2013-05-31,0.01,16,274
1076949,Key West Style Bungalow,1931430,Ana,,Fort Lauderdale,26.11777,-80.15773,Entire home/apt,125,2,31,2019-04-14,0.45,1,318
1078746,Beach Side  Balcony Kitchen Pool Parking Coral-T07,5609323,Florida,,Hollywood,25.98818,-80.11751,Entire home/apt,159,3,21,2018-07-03,0.28,16,360
1080080,"200 feet at water, walk to beach",5540104,Katarina,,Fort Lauderdale,26.11725,-80.11189,Entire home/apt,287,3,4,2017-05-21,0.07,5,0
1085277,Beach Side Plenty room - WHITE-T04,5609323,Florida,,Hollywood,25.98772,-80.11927,Entire home/apt,170,3,21,2019-03-22,0.30,16,289
1092175,OCEANFRONT ON THE BEACH. 2 BEDROOM 8TH FLOOR,2001930,Dmitri,,Hollywood,25.9867,-80.11926,Entire home/apt,169,5,6,2015-02-21,0.08,44,180
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,200,1,83,2019-07-08,1.13,1,365
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,110,1,71,2019-04-27,0.95,2,312
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,110,1,47,2019-04-13,0.66,2,312
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,135,5,51,2019-05-30,0.81,2,300
1118565,Elegant Condo 250 yards from BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,133,5,52,2019-05-13,0.70,2,355
1127112,Studio with kitchen at Beach Hotel,5611017,Sergio,,Hollywood,26.01299,-80.11543,Entire home/apt,50,3,76,2019-07-13,1.08,16,83
1133172,Beach Side 2B/2B ALMOND-A25,5609323,Florida,,Hollywood,25.99207,-80.11874,Entire home/apt,314,15,26,2019-03-30,0.36,16,342
1147098,LUXURY 3 BDRM 2 STORY OCEANFRONT/OCEAN VIEW!,6288957,Olga,,Hollywood,26.00759,-80.11876,Entire home/apt,299,4,0,,,2,0
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.17082,-80.13079,Entire home/apt,94,1,112,2019-07-07,1.50,1,241
1153010,Beach Front Balcony Kitchen Pool Parking GOLD-T06,5609323,Florida,,Hollywood,25.98756,-80.11761,Entire home/apt,185,3,46,2019-06-08,0.67,16,277
1173175,3 BEDROOM WATERFRONT HOME WITH A DOCK,2604965,Maureen,,Hollywood,26.02862,-80.16496,Entire home/apt,550,1,24,2018-05-13,0.33,3,364
1173304,CHARMING WATERFRONT RETREAT,2604965,Maureen,,Hollywood,26.03044,-80.16362,Private room,85,1,71,2019-06-16,1.21,3,365
1173305,TRANQUIL WATERFRONT OASIS,2604965,Maureen,,Hollywood,26.02834,-80.16334,Private room,82,1,41,2019-04-07,0.57,3,365
1195168,Beach Side 2 bedrooms - ALMOND-A211,5609323,Florida,,Hollywood,25.99352,-80.11699,Entire home/apt,334,21,16,2015-10-12,0.22,16,250
1206443,Luxury High-Rise Condo on the Beach,6586687,Bonnie,,Hallandale Beach,25.97843,-80.12082,Entire home/apt,200,30,0,,,1,365
1213464,Ocean Front Studio-Hollywood Beach,6624151,Eileen,,Hollywood,26.01284,-80.11551,Entire home/apt,77,5,49,2019-06-22,1.12,1,320
1231564,Mediterranean Villa - Luxury Bath,6716392,Susan,,Coconut Creek,26.31783,-80.17438,Private room,68,2,109,2019-06-19,1.59,1,313
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hollywood,25.98707,-80.11925,Entire home/apt,200,4,143,2019-06-23,1.96,1,290
1297784,Renovated and completely furnished Vacation Home.,7056347,Chris,,Deerfield Beach,26.30155,-80.09108,Entire home/apt,279,2,106,2019-06-23,1.59,1,355
1301449,3/2 Townhouse Miami/Fort Lauderdale  8 mi to beach,7076305,James,,Miramar,25.97656,-80.2241,Entire home/apt,125,5,57,2019-05-14,0.84,1,278
1305586,OCEANFRONT LUXURY 1 BR PENTHOUSE,3018206,Lawrence,,Hollywood,25.99211,-80.11724,Entire home/apt,93,29,2,2015-02-28,0.03,1,212
1312899,NEWLY RENOVATED 2 BEDROOMS APT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12323,-80.32615,Entire home/apt,125,7,59,2019-06-25,0.85,4,238
1313403,GREEN  OASIS,2453109,Sarah,,Hollywood,26.0297,-80.14122,Entire home/apt,125,3,44,2019-04-30,0.62,4,178
1326340,VILLAS HOLLYWOOD BEACH FL ,7198092,Joseph,,Hollywood,26.01673,-80.11708,Entire home/apt,95,30,0,,,2,225
1339495,Waterfront-guesthouse-walk to beach,5540104,Katarina,,Fort Lauderdale,26.11532,-80.11315,Entire home/apt,299,3,3,2017-05-29,0.05,5,365
1375343,The Bush House - Small House for two,1304156,Nicolas,,Hollywood,26.02567,-80.14201,Entire home/apt,80,3,100,2019-06-20,1.65,4,338
1376873,Beautifully Renovated Beach Condo,7459306,Rachelle,,Hollywood,26.02369,-80.11542,Entire home/apt,165,1,4,2019-04-05,0.09,1,274
1381979,"Beach View, 1 bedroom - EMERALD-S11",5609323,Florida,,Hallandale Beach,25.98625,-80.11964,Entire home/apt,149,6,35,2017-04-27,0.51,16,365
1408900,"2/2 SLEEP 6, MARY POP APARTMENTS ( EXTENDED STAY )",454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03447,-80.14105,Entire home/apt,100,3,21,2019-05-27,0.32,7,86
1432118,La Bella Vita! Waterfront Compound,6912612,Annie,,Pompano Beach,26.24226,-80.09432,Entire home/apt,450,5,9,2016-09-26,0.16,1,297
1488193,Waterfront Apartment close to beach!,2857320,Erin,,Fort Lauderdale,26.12771,-80.10714,Entire home/apt,167,7,28,2019-07-06,0.39,1,214
1488341,PENTHOUSE 2/2 OCEANFRONT ON THE BEACH,2001930,Dmitri,,Hollywood,25.98819,-80.11971,Entire home/apt,165,5,9,2018-05-16,0.14,44,300
1511754,OCEANFRONT/BORD DE LA MER À HOLLYWOOD AU TIDES,8073832,Annie,,Hollywood,25.98986,-80.11713,Entire home/apt,125,4,43,2019-05-15,0.61,1,191
1515533,FORT LAUDERDALE COTTAGE OASIS ,8092157,Mike,,Fort Lauderdale,26.12414,-80.13276,Entire home/apt,125,4,68,2019-05-13,1.01,1,365
1548483,"""Welcome home on Hallandale Beach""",8250407,Shane,,Hallandale Beach,25.99658,-80.12197,Entire home/apt,95,3,37,2019-05-13,0.53,1,299
1559542,Private Home Near Downtown & Beach remodeled!,1832378,Marc,,Fort Lauderdale,26.10759,-80.14583,Entire home/apt,60,30,23,2019-04-29,0.35,4,152
1602075,Gorgeous Deerfield Home with Heated Pool,1976255,Svetlana,,Deerfield Beach,26.32091,-80.09154,Entire home/apt,250,3,62,2019-05-05,0.91,1,285
1645521,Penthouse Beach side Balcony Pool  White P16,5609323,Florida,,Hollywood,25.98835,-80.1191,Entire home/apt,185,3,18,2019-05-13,0.28,16,351
1646485,Amazing townhome with elevator across the beach,8737341,France,,Pompano Beach,26.22763,-80.08991,Entire home/apt,475,7,1,2015-05-07,0.02,1,316
1661692,2 bedroom. Beach Club ,8802450,Janet,,Hallandale Beach,25.98422,-80.1178,Entire home/apt,250,30,0,,,5,363
1664295,On the Beach!  2 bedroom/2 baths,8802450,Janet,,Hollywood,25.98828,-80.11961,Entire home/apt,250,3,0,,,5,365
1682792,Pretty studio 80 steps to the beach,231429,Sonia,,Hollywood,26.02816,-80.11484,Entire home/apt,70,3,50,2019-07-10,0.73,1,215
1693120,Private 1BR/1BA with Pool,126966,Joshua,,Fort Lauderdale,26.1464,-80.12583,Entire home/apt,130,30,2,2018-03-31,0.03,1,364
1717935,"Comfortable room in Plantation , hi speed int+desk",8185224,Lissette,,Plantation,26.12559,-80.25031,Private room,53,5,12,2019-05-20,0.37,3,231
1744871,Oceanfront condo in Fort Lauderdale,9184480,Tina + Hans,,Lauderdale By The Sea,26.21254,-80.09187,Entire home/apt,95,7,48,2018-12-29,0.70,1,243
1751870,Joyous Mermaid House,113524,Elle And Paul,,Hollywood,26.0204,-80.15441,Entire home/apt,95,28,25,2019-06-05,0.38,2,200
1773712,Tropical Pool Home and Pavilion,9315425,Mark,,Plantation,26.10882,-80.21644,Entire home/apt,250,3,74,2019-07-07,1.09,1,312
1789638,Beach Side View 2B/2B - ONIX-T15,5609323,Florida,,Hollywood,25.9896,-80.11831,Entire home/apt,199,3,22,2019-03-02,0.33,16,0
1796704,NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12808,-80.3167,Entire home/apt,125,21,31,2018-11-17,0.46,4,194
1819422,Villa-Coral-Ridge-Fort Lauderdale,9526715,Jean Yves,,Fort Lauderdale,26.20035,-80.12661,Entire home/apt,320,3,12,2019-05-14,0.22,2,280
1836573,Comfort/Beach/Free Parking I,9601715,"Mary, Ryan And Spencer",,Wilton Manors,26.15719,-80.13366,Private room,89,2,33,2019-03-31,0.50,2,365
1856146,Cozy Seaward Shores! Walk to Beach & Beach Club!,9443719,Ida Annika,,Lauderdale By The Sea,26.21876,-80.09492,Entire home/apt,499,7,5,2019-04-29,0.08,19,365
1858886,4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Ida Annika,,Pompano Beach,26.21098,-80.10475,Entire home/apt,845,2,8,2019-05-26,0.13,19,362
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.17391,-80.1509,Entire home/apt,65,1,367,2019-06-29,5.31,2,170
1871833,"Beautiful, Two Story Home",9754289,Patrick,,Deerfield Beach,26.28459,-80.14557,Private room,69,2,31,2016-09-01,0.46,1,286
1876292,3 bdrm 2 bath pool home near beach,9774075,Joe,,Deerfield Beach,26.30344,-80.08797,Entire home/apt,250,4,6,2018-11-10,0.09,1,0
1881428,"Studio near beach, shops & casino",3625092,Roland J,,Hallandale Beach,25.98801,-80.1263,Entire home/apt,104,3,21,2019-07-07,0.38,1,182
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.218,-80.10078,Entire home/apt,239,6,26,2019-07-10,0.48,1,277
1909627,W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Allen,,Fort Lauderdale,26.12802,-80.1039,Entire home/apt,332,2,30,2019-05-14,0.49,1,347
1909750,Room in Single Family Home,9910066,Evan,,Miramar,25.98739,-80.21079,Private room,80,1,0,,,2,365
1911406,"The Cracker Shack. Victoria Park, Fort Lauderdale",171749,Rob,,Fort Lauderdale,26.13293,-80.13682,Entire home/apt,135,30,17,2018-03-17,0.25,1,365
1920595,Villa Tropical Oasis FortLauderdale,9526715,Jean Yves,,Fort Lauderdale,26.14557,-80.12942,Entire home/apt,295,3,30,2019-06-19,0.54,2,264
1965226,5 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02607,-80.11466,Entire home/apt,115,3,68,2019-06-16,1.01,4,358
1965460,Luxurious Pool Home Walk to the Drive,10151952,David & Arek,,Wilton Manors,26.15608,-80.13788,Entire home/apt,275,5,1,2018-12-29,0.15,1,0
1970524,"3 BED.2 BATH , PRIVATE POOL+PRIVACY",10175122,Francois,,Hollywood,26.03117,-80.21664,Entire home/apt,200,3,23,2019-04-01,0.34,1,238
1987335,Dpto 5 - Único Confort en la playa,8790381,Natalia,,Hollywood,25.9898,-80.11924,Entire home/apt,155,3,12,2019-07-07,0.23,15,323
1988042,Pompano condo w/ ocean views,10253166,Amy,,Pompano Beach,26.24135,-80.08957,Entire home/apt,71,60,4,2018-11-12,0.06,1,193
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02587,-80.11573,Entire home/apt,105,3,40,2019-06-25,0.59,4,342
2007538,Ft. Lauderdale Cottage 1bdrm 1bath,3246027,Chris,,Fort Lauderdale,26.14176,-80.13035,Entire home/apt,76,2,294,2019-07-07,4.34,3,344
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.0259,-80.11646,Entire home/apt,80,3,71,2019-06-25,1.04,4,297
2022083,BIMINI – Very Confy & Spacious,10384873,Giuliana & Eric,,Fort Lauderdale,26.09971,-80.15277,Private room,50,30,12,2019-03-03,0.18,5,338
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02702,-80.24008,Private room,45,3,27,2019-04-02,0.40,4,365
2023131,CAICOS - Best location!! Everything included,10384873,Giuliana & Eric,,Fort Lauderdale,26.09855,-80.15301,Private room,40,30,16,2018-12-03,0.26,5,347
2023138,BARBADOS – w/Private Entrance & Bathroom,10384873,Giuliana & Eric,,Fort Lauderdale,26.09871,-80.15148,Private room,50,30,13,2018-04-15,0.19,5,339
